"partner_key","ab_slot1_variant","event_count","freq"
Partner A,Control,1,114641
Partner A,Control,2,41238
Partner A,Control,3,25485
Partner A,Control,4,17857
Partner A,Control,5,13168
Partner A,Control,6,10366
Partner A,Control,7,8477
Partner A,Control,8,6948
Partner A,Control,9,5715
Partner A,Control,10,4923
Partner A,Control,11,4335
Partner A,Control,12,3806
Partner A,Control,13,3280
Partner A,Control,14,2917
Partner A,Control,15,2624
Partner A,Control,16,2427
Partner A,Control,17,2232
Partner A,Control,18,1928
Partner A,Control,19,1757
Partner A,Control,20,1545
Partner A,Control,21,1414
Partner A,Control,22,1291
Partner A,Control,23,1176
Partner A,Control,24,1042
Partner A,Control,25,1047
Partner A,Control,26,924
Partner A,Control,27,923
Partner A,Control,28,766
Partner A,Control,29,706
Partner A,Control,30,663
Partner A,Control,31,639
Partner A,Control,32,533
Partner A,Control,33,581
Partner A,Control,34,511
Partner A,Control,35,471
Partner A,Control,36,409
Partner A,Control,37,393
Partner A,Control,38,384
Partner A,Control,39,347
Partner A,Control,40,368
Partner A,Control,41,322
Partner A,Control,42,294
Partner A,Control,43,263
Partner A,Control,44,265
Partner A,Control,45,264
Partner A,Control,46,246
Partner A,Control,47,210
Partner A,Control,48,222
Partner A,Control,49,207
Partner A,Control,50,202
Partner A,Control,51,164
Partner A,Control,52,173
Partner A,Control,53,149
Partner A,Control,54,150
Partner A,Control,55,130
Partner A,Control,56,144
Partner A,Control,57,121
Partner A,Control,58,127
Partner A,Control,59,125
Partner A,Control,60,100
Partner A,Control,61,101
Partner A,Control,62,107
Partner A,Control,63,92
Partner A,Control,64,88
Partner A,Control,65,90
Partner A,Control,66,84
Partner A,Control,67,70
Partner A,Control,68,84
Partner A,Control,69,77
Partner A,Control,70,70
Partner A,Control,71,67
Partner A,Control,72,62
Partner A,Control,73,58
Partner A,Control,74,59
Partner A,Control,75,47
Partner A,Control,76,50
Partner A,Control,77,48
Partner A,Control,78,49
Partner A,Control,79,53
Partner A,Control,80,42
Partner A,Control,81,44
Partner A,Control,82,42
Partner A,Control,83,26
Partner A,Control,84,55
Partner A,Control,85,29
Partner A,Control,86,40
Partner A,Control,87,27
Partner A,Control,88,33
Partner A,Control,89,19
Partner A,Control,90,33
Partner A,Control,91,29
Partner A,Control,92,26
Partner A,Control,93,21
Partner A,Control,94,26
Partner A,Control,95,22
Partner A,Control,96,21
Partner A,Control,97,19
Partner A,Control,98,17
Partner A,Control,99,18
Partner A,Control,100,20
Partner A,Control,101,17
Partner A,Control,102,10
Partner A,Control,103,16
Partner A,Control,104,15
Partner A,Control,105,13
Partner A,Control,106,11
Partner A,Control,107,15
Partner A,Control,108,15
Partner A,Control,109,12
Partner A,Control,110,13
Partner A,Control,111,15
Partner A,Control,112,12
Partner A,Control,113,16
Partner A,Control,114,3
Partner A,Control,115,7
Partner A,Control,116,18
Partner A,Control,117,10
Partner A,Control,118,10
Partner A,Control,119,12
Partner A,Control,120,11
Partner A,Control,121,11
Partner A,Control,122,7
Partner A,Control,123,8
Partner A,Control,124,10
Partner A,Control,125,8
Partner A,Control,126,10
Partner A,Control,127,10
Partner A,Control,128,9
Partner A,Control,129,9
Partner A,Control,130,11
Partner A,Control,131,11
Partner A,Control,132,6
Partner A,Control,133,7
Partner A,Control,134,7
Partner A,Control,135,4
Partner A,Control,136,5
Partner A,Control,137,3
Partner A,Control,138,3
Partner A,Control,139,6
Partner A,Control,140,5
Partner A,Control,141,8
Partner A,Control,142,3
Partner A,Control,143,2
Partner A,Control,144,5
Partner A,Control,145,7
Partner A,Control,146,3
Partner A,Control,147,2
Partner A,Control,148,1
Partner A,Control,149,7
Partner A,Control,150,2
Partner A,Control,151,8
Partner A,Control,152,9
Partner A,Control,153,6
Partner A,Control,154,2
Partner A,Control,155,2
Partner A,Control,156,5
Partner A,Control,159,1
Partner A,Control,160,1
Partner A,Control,161,4
Partner A,Control,162,5
Partner A,Control,163,4
Partner A,Control,164,2
Partner A,Control,165,4
Partner A,Control,166,2
Partner A,Control,167,2
Partner A,Control,168,1
Partner A,Control,169,1
Partner A,Control,170,3
Partner A,Control,171,5
Partner A,Control,172,1
Partner A,Control,173,3
Partner A,Control,174,1
Partner A,Control,175,4
Partner A,Control,176,1
Partner A,Control,177,10
Partner A,Control,178,3
Partner A,Control,179,1
Partner A,Control,180,4
Partner A,Control,181,1
Partner A,Control,182,1
Partner A,Control,183,1
Partner A,Control,184,1
Partner A,Control,185,3
Partner A,Control,186,2
Partner A,Control,187,2
Partner A,Control,188,3
Partner A,Control,190,2
Partner A,Control,191,3
Partner A,Control,193,3
Partner A,Control,194,2
Partner A,Control,195,1
Partner A,Control,196,3
Partner A,Control,199,3
Partner A,Control,201,2
Partner A,Control,202,2
Partner A,Control,204,2
Partner A,Control,206,2
Partner A,Control,207,1
Partner A,Control,208,2
Partner A,Control,211,1
Partner A,Control,213,1
Partner A,Control,214,2
Partner A,Control,216,1
Partner A,Control,217,1
Partner A,Control,221,2
Partner A,Control,223,1
Partner A,Control,226,1
Partner A,Control,227,1
Partner A,Control,228,1
Partner A,Control,231,2
Partner A,Control,235,1
Partner A,Control,236,1
Partner A,Control,246,1
Partner A,Control,248,1
Partner A,Control,250,1
Partner A,Control,251,1
Partner A,Control,253,1
Partner A,Control,258,1
Partner A,Control,260,1
Partner A,Control,261,2
Partner A,Control,263,1
Partner A,Control,267,1
Partner A,Control,272,1
Partner A,Control,273,1
Partner A,Control,284,1
Partner A,Control,285,1
Partner A,Control,296,1
Partner A,Control,305,1
Partner A,Control,310,1
Partner A,Control,312,1
Partner A,Control,320,1
Partner A,Control,339,1
Partner A,Control,360,1
Partner A,Control,369,1
Partner A,Control,384,1
Partner A,Control,413,1
Partner A,Control,433,1
Partner A,Control,435,1
Partner A,Control,454,1
Partner A,Control,510,1
Partner A,Control,574,1
Partner A,Test,1,113014
Partner A,Test,2,40418
Partner A,Test,3,24977
Partner A,Test,4,17196
Partner A,Test,5,12880
Partner A,Test,6,10584
Partner A,Test,7,8772
Partner A,Test,8,7255
Partner A,Test,9,6227
Partner A,Test,10,5337
Partner A,Test,11,4541
Partner A,Test,12,4092
Partner A,Test,13,3526
Partner A,Test,14,3149
Partner A,Test,15,2777
Partner A,Test,16,2587
Partner A,Test,17,2288
Partner A,Test,18,2079
Partner A,Test,19,1814
Partner A,Test,20,1709
Partner A,Test,21,1405
Partner A,Test,22,1400
Partner A,Test,23,1319
Partner A,Test,24,1122
Partner A,Test,25,1046
Partner A,Test,26,1025
Partner A,Test,27,958
Partner A,Test,28,831
Partner A,Test,29,786
Partner A,Test,30,756
Partner A,Test,31,702
Partner A,Test,32,687
Partner A,Test,33,596
Partner A,Test,34,537
Partner A,Test,35,508
Partner A,Test,36,515
Partner A,Test,37,473
Partner A,Test,38,417
Partner A,Test,39,394
Partner A,Test,40,413
Partner A,Test,41,357
Partner A,Test,42,310
Partner A,Test,43,322
Partner A,Test,44,274
Partner A,Test,45,276
Partner A,Test,46,276
Partner A,Test,47,261
Partner A,Test,48,234
Partner A,Test,49,214
Partner A,Test,50,233
Partner A,Test,51,184
Partner A,Test,52,176
Partner A,Test,53,172
Partner A,Test,54,140
Partner A,Test,55,152
Partner A,Test,56,143
Partner A,Test,57,141
Partner A,Test,58,113
Partner A,Test,59,110
Partner A,Test,60,93
Partner A,Test,61,121
Partner A,Test,62,97
Partner A,Test,63,123
Partner A,Test,64,79
Partner A,Test,65,103
Partner A,Test,66,104
Partner A,Test,67,87
Partner A,Test,68,76
Partner A,Test,69,83
Partner A,Test,70,80
Partner A,Test,71,64
Partner A,Test,72,65
Partner A,Test,73,52
Partner A,Test,74,56
Partner A,Test,75,55
Partner A,Test,76,51
Partner A,Test,77,49
Partner A,Test,78,57
Partner A,Test,79,36
Partner A,Test,80,46
Partner A,Test,81,49
Partner A,Test,82,47
Partner A,Test,83,41
Partner A,Test,84,53
Partner A,Test,85,31
Partner A,Test,86,40
Partner A,Test,87,42
Partner A,Test,88,34
Partner A,Test,89,35
Partner A,Test,90,24
Partner A,Test,91,30
Partner A,Test,92,27
Partner A,Test,93,24
Partner A,Test,94,28
Partner A,Test,95,27
Partner A,Test,96,24
Partner A,Test,97,21
Partner A,Test,98,21
Partner A,Test,99,20
Partner A,Test,100,23
Partner A,Test,101,8
Partner A,Test,102,24
Partner A,Test,103,19
Partner A,Test,104,17
Partner A,Test,105,20
Partner A,Test,106,14
Partner A,Test,107,11
Partner A,Test,108,23
Partner A,Test,109,17
Partner A,Test,110,12
Partner A,Test,111,17
Partner A,Test,112,11
Partner A,Test,113,18
Partner A,Test,114,7
Partner A,Test,115,9
Partner A,Test,116,14
Partner A,Test,117,10
Partner A,Test,118,15
Partner A,Test,119,10
Partner A,Test,120,12
Partner A,Test,121,6
Partner A,Test,122,7
Partner A,Test,123,8
Partner A,Test,124,8
Partner A,Test,125,7
Partner A,Test,126,13
Partner A,Test,127,7
Partner A,Test,128,9
Partner A,Test,129,9
Partner A,Test,130,7
Partner A,Test,131,8
Partner A,Test,132,7
Partner A,Test,133,6
Partner A,Test,134,5
Partner A,Test,135,6
Partner A,Test,136,5
Partner A,Test,137,2
Partner A,Test,138,3
Partner A,Test,139,2
Partner A,Test,140,2
Partner A,Test,141,6
Partner A,Test,142,5
Partner A,Test,143,4
Partner A,Test,144,12
Partner A,Test,145,4
Partner A,Test,146,8
Partner A,Test,147,4
Partner A,Test,148,5
Partner A,Test,149,2
Partner A,Test,150,5
Partner A,Test,151,1
Partner A,Test,152,4
Partner A,Test,153,2
Partner A,Test,154,3
Partner A,Test,155,3
Partner A,Test,156,6
Partner A,Test,157,5
Partner A,Test,158,5
Partner A,Test,159,3
Partner A,Test,162,5
Partner A,Test,163,4
Partner A,Test,164,4
Partner A,Test,165,6
Partner A,Test,167,1
Partner A,Test,168,3
Partner A,Test,169,4
Partner A,Test,170,3
Partner A,Test,171,1
Partner A,Test,172,1
Partner A,Test,173,1
Partner A,Test,174,2
Partner A,Test,175,2
Partner A,Test,176,3
Partner A,Test,177,1
Partner A,Test,178,1
Partner A,Test,179,4
Partner A,Test,180,1
Partner A,Test,181,2
Partner A,Test,182,1
Partner A,Test,184,7
Partner A,Test,186,3
Partner A,Test,188,2
Partner A,Test,189,1
Partner A,Test,190,1
Partner A,Test,191,1
Partner A,Test,192,1
Partner A,Test,194,2
Partner A,Test,196,2
Partner A,Test,197,4
Partner A,Test,198,2
Partner A,Test,199,1
Partner A,Test,200,1
Partner A,Test,201,2
Partner A,Test,202,1
Partner A,Test,203,2
Partner A,Test,204,2
Partner A,Test,206,1
Partner A,Test,210,4
Partner A,Test,211,1
Partner A,Test,215,2
Partner A,Test,218,3
Partner A,Test,220,1
Partner A,Test,221,1
Partner A,Test,230,1
Partner A,Test,231,3
Partner A,Test,233,1
Partner A,Test,234,1
Partner A,Test,235,1
Partner A,Test,236,1
Partner A,Test,237,1
Partner A,Test,238,1
Partner A,Test,239,1
Partner A,Test,243,1
Partner A,Test,244,1
Partner A,Test,245,1
Partner A,Test,246,1
Partner A,Test,247,2
Partner A,Test,260,1
Partner A,Test,261,1
Partner A,Test,272,1
Partner A,Test,273,1
Partner A,Test,279,1
Partner A,Test,281,1
Partner A,Test,282,2
Partner A,Test,289,1
Partner A,Test,290,2
Partner A,Test,298,1
Partner A,Test,322,1
Partner A,Test,340,1
Partner A,Test,345,1
Partner A,Test,359,1
Partner A,Test,403,1
Partner A,Test,418,1
Partner A,Test,440,1
Partner A,Test,474,2
Partner A,Test,501,1
Partner A,Test,536,1
Partner A,Test,540,1
Partner A,Test,546,1
Partner A,Test,658,1
Partner B,,1,343613
Partner B,,2,89913
Partner B,,3,45480
Partner B,,4,27430
Partner B,,5,18213
Partner B,,6,12704
Partner B,,7,9409
Partner B,,8,7217
Partner B,,9,5779
Partner B,,10,4573
Partner B,,11,3755
Partner B,,12,3150
Partner B,,13,2595
Partner B,,14,2205
Partner B,,15,1909
Partner B,,16,1583
Partner B,,17,1371
Partner B,,18,1164
Partner B,,19,1018
Partner B,,20,930
Partner B,,21,859
Partner B,,22,707
Partner B,,23,664
Partner B,,24,563
Partner B,,25,485
Partner B,,26,472
Partner B,,27,409
Partner B,,28,369
Partner B,,29,353
Partner B,,30,319
Partner B,,31,298
Partner B,,32,249
Partner B,,33,237
Partner B,,34,216
Partner B,,35,210
Partner B,,36,195
Partner B,,37,174
Partner B,,38,143
Partner B,,39,170
Partner B,,40,152
Partner B,,41,136
Partner B,,42,133
Partner B,,43,124
Partner B,,44,97
Partner B,,45,91
Partner B,,46,105
Partner B,,47,102
Partner B,,48,65
Partner B,,49,87
Partner B,,50,80
Partner B,,51,70
Partner B,,52,52
Partner B,,53,53
Partner B,,54,47
Partner B,,55,54
Partner B,,56,58
Partner B,,57,42
Partner B,,58,54
Partner B,,59,41
Partner B,,60,38
Partner B,,61,51
Partner B,,62,42
Partner B,,63,39
Partner B,,64,41
Partner B,,65,37
Partner B,,66,12
Partner B,,67,35
Partner B,,68,31
Partner B,,69,24
Partner B,,70,20
Partner B,,71,24
Partner B,,72,17
Partner B,,73,21
Partner B,,74,23
Partner B,,75,20
Partner B,,76,15
Partner B,,77,16
Partner B,,78,27
Partner B,,79,17
Partner B,,80,16
Partner B,,81,17
Partner B,,82,13
Partner B,,83,13
Partner B,,84,14
Partner B,,85,15
Partner B,,86,10
Partner B,,87,17
Partner B,,88,17
Partner B,,89,8
Partner B,,90,13
Partner B,,91,11
Partner B,,92,6
Partner B,,93,8
Partner B,,94,11
Partner B,,95,10
Partner B,,96,11
Partner B,,97,13
Partner B,,98,5
Partner B,,99,9
Partner B,,100,7
Partner B,,101,8
Partner B,,102,6
Partner B,,103,5
Partner B,,104,9
Partner B,,105,11
Partner B,,106,10
Partner B,,107,6
Partner B,,108,9
Partner B,,109,4
Partner B,,110,9
Partner B,,111,8
Partner B,,112,3
Partner B,,113,8
Partner B,,114,5
Partner B,,115,3
Partner B,,116,4
Partner B,,117,6
Partner B,,118,10
Partner B,,119,3
Partner B,,120,3
Partner B,,121,4
Partner B,,122,4
Partner B,,123,7
Partner B,,124,4
Partner B,,125,6
Partner B,,126,2
Partner B,,127,4
Partner B,,128,1
Partner B,,129,4
Partner B,,130,3
Partner B,,131,3
Partner B,,132,3
Partner B,,133,3
Partner B,,134,1
Partner B,,135,2
Partner B,,136,2
Partner B,,137,3
Partner B,,138,1
Partner B,,139,2
Partner B,,140,2
Partner B,,141,1
Partner B,,142,2
Partner B,,143,2
Partner B,,144,1
Partner B,,145,4
Partner B,,146,3
Partner B,,147,2
Partner B,,148,5
Partner B,,149,1
Partner B,,150,5
Partner B,,151,6
Partner B,,152,2
Partner B,,155,1
Partner B,,156,2
Partner B,,157,1
Partner B,,158,2
Partner B,,159,3
Partner B,,160,3
Partner B,,161,2
Partner B,,162,3
Partner B,,163,2
Partner B,,165,1
Partner B,,167,2
Partner B,,168,2
Partner B,,169,2
Partner B,,171,2
Partner B,,172,1
Partner B,,173,2
Partner B,,174,1
Partner B,,177,1
Partner B,,178,2
Partner B,,179,2
Partner B,,180,1
Partner B,,183,2
Partner B,,184,3
Partner B,,185,1
Partner B,,186,1
Partner B,,189,2
Partner B,,190,1
Partner B,,191,1
Partner B,,192,1
Partner B,,195,1
Partner B,,196,3
Partner B,,198,1
Partner B,,199,1
Partner B,,201,1
Partner B,,204,1
Partner B,,206,1
Partner B,,207,2
Partner B,,208,2
Partner B,,214,1
Partner B,,219,1
Partner B,,222,1
Partner B,,223,1
Partner B,,228,1
Partner B,,229,3
Partner B,,235,2
Partner B,,236,1
Partner B,,238,2
Partner B,,241,1
Partner B,,243,1
Partner B,,248,1
Partner B,,249,1
Partner B,,253,2
Partner B,,255,2
Partner B,,259,2
Partner B,,260,1
Partner B,,264,1
Partner B,,265,2
Partner B,,281,1
Partner B,,292,1
Partner B,,312,2
Partner B,,334,1
Partner B,,346,1
Partner B,,357,1
Partner B,,358,1
Partner B,,362,1
Partner B,,364,1
Partner B,,380,1
Partner B,,413,1
Partner B,,423,1
Partner B,,429,1
Partner B,,482,1
Partner B,,607,1
Partner B,,655,1
Partner B,,697,1
Partner B,,733,1
Partner B,,736,1
Partner B,,738,1
Partner B,,903,1
Partner B,,929,1
Partner B,,930,1
Partner B,,946,1
Partner B,,972,1
Partner B,,1026,1
Partner B,,1092,1
Partner B,,1224,1
Partner B,,1299,1
Partner B,,1328,1
Partner B,,1438,1
Partner B,,1542,1
Partner B,,1951,1
Partner B,,2049,1
Partner B,,2361,1
Partner B,,3002,1
Partner B,,3404,1
Partner B,,3466,1
Partner B,,5161,1
Partner B,,6174,1
Partner B,,6177,1
Partner B,,7448,1
Partner B,,7868,1
Partner B,,9548,1
Partner B,,12646,1
Partner B,,12651,1
Partner B,,14742,1
Partner B,,34347,1
Partner B,,56881,1
